Format Version,1.21,Take Name,testrit 2 21-4 ,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2022-04-21 11.47.01 AM,Total Frames in Take,741,Total Exported Frames,741,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,,Jetracer 3(id1),Jetracer 3(id1),Jetracer 3(id1),Jetracer 3(id1),Jetracer 3(id1),Jetracer 3(id1),Jetracer 3(id1),Jetracer 3(id1)
,,"8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Error Per Marker
Frame,Time,X,Y,Z,W,X,Y,Z,
0,0.000000,0.020855,0.061661,-0.004757,-0.997868,-4.422018,0.115052,-0.088535,0.056294
1,0.008333,0.020855,0.061661,-0.004757,-0.997868,-4.422018,0.115052,-0.088535,0.056294
2,0.016667,0.020855,0.061661,-0.004757,-0.997868,-4.422018,0.115052,-0.088535,0.056294
3,0.025000,0.020855,0.061661,-0.004757,-0.997868,-4.422018,0.115052,-0.088535,0.056294
4,0.033333,0.020855,0.061661,-0.004757,-0.997868,-4.422018,0.115052,-0.088535,0.056294
5,0.041667,0.020855,0.061661,-0.004757,-0.997868,-4.422018,0.115052,-0.088535,0.056294
6,0.050000,0.020855,0.061661,-0.004757,-0.997868,-4.422018,0.115052,-0.088535,0.056294
7,0.058333,0.020855,0.061661,-0.004757,-0.997868,-4.422018,0.115052,-0.088535,0.056294
8,0.066667,0.020855,0.061661,-0.004757,-0.997868,-4.422018,0.115052,-0.088535,0.056294
9,0.075000,0.020855,0.061661,-0.004757,-0.997868,-4.422018,0.115052,-0.088535,0.056294
10,0.083333,0.020855,0.061661,-0.004757,-0.997868,-4.422018,0.115052,-0.088535,0.056294
11,0.091667,0.020855,0.061661,-0.004757,-0.997868,-4.422018,0.115052,-0.088535,0.056294
12,0.100000,0.020855,0.061661,-0.004757,-0.997868,-4.422018,0.115052,-0.088535,0.056294
13,0.108333,0.020855,0.061661,-0.004757,-0.997868,-4.422018,0.115052,-0.088535,0.056294
14,0.116667,0.020855,0.061661,-0.004757,-0.997868,-4.422018,0.115052,-0.088535,0.056294
15,0.125000,0.020855,0.061661,-0.004757,-0.997868,-4.422018,0.115052,-0.088535,0.056294
16,0.133333,0.020855,0.061661,-0.004757,-0.997868,-4.422018,0.115052,-0.088535,0.056294
17,0.141667,0.020855,0.061661,-0.004757,-0.997868,-4.422018,0.115052,-0.088535,0.056294
18,0.150000,0.020855,0.061661,-0.004757,-0.997868,-4.422018,0.115052,-0.088535,0.056294
19,0.158333,0.020855,0.061661,-0.004757,-0.997868,-4.422018,0.115052,-0.088535,0.056294
20,0.166667,0.020855,0.061661,-0.004757,-0.997868,-4.422018,0.115052,-0.088535,0.056294
21,0.175000,0.020855,0.061661,-0.004757,-0.997868,-4.422018,0.115052,-0.088535,0.056294
22,0.183333,0.020855,0.061661,-0.004757,-0.997868,-4.422018,0.115052,-0.088535,0.056294
23,0.191667,0.020855,0.061661,-0.004757,-0.997868,-4.422018,0.115052,-0.088535,0.056294
