Format Version,1.21,Take Name,testrit 4 21-4,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2022-04-21 11.48.20 AM,Total Frames in Take,833,Total Exported Frames,833,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,,Jetracer 3(id1),Jetracer 3(id1),Jetracer 3(id1),Jetracer 3(id1),Jetracer 3(id1),Jetracer 3(id1),Jetracer 3(id1),Jetracer 3(id1)
,,"8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Error Per Marker
Frame,Time,X,Y,Z,W,X,Y,Z,
0,0.000000,-0.005047,-0.038458,-0.013857,-0.999151,-4.115004,0.114691,-0.395339,0.008137
1,0.008333,-0.005047,-0.038458,-0.013857,-0.999151,-4.115004,0.114691,-0.395339,0.008137
2,0.016667,-0.005047,-0.038458,-0.013857,-0.999151,-4.115004,0.114691,-0.395339,0.008137
3,0.025000,-0.005047,-0.038458,-0.013857,-0.999151,-4.115004,0.114691,-0.395339,0.008137
4,0.033333,-0.005047,-0.038458,-0.013857,-0.999151,-4.115004,0.114691,-0.395339,0.008137
5,0.041667,-0.005047,-0.038458,-0.013857,-0.999151,-4.115004,0.114691,-0.395339,0.008137
6,0.050000,-0.005047,-0.038458,-0.013857,-0.999151,-4.115004,0.114691,-0.395339,0.008137
7,0.058333,-0.005047,-0.038458,-0.013857,-0.999151,-4.115004,0.114691,-0.395339,0.008137
8,0.066667,-0.005047,-0.038458,-0.013857,-0.999151,-4.115004,0.114691,-0.395339,0.008137
9,0.075000,-0.005047,-0.038458,-0.013857,-0.999151,-4.115004,0.114691,-0.395339,0.008137
10,0.083333,-0.005047,-0.038458,-0.013857,-0.999151,-4.115004,0.114691,-0.395339,0.008137
11,0.091667,-0.005047,-0.038458,-0.013857,-0.999151,-4.115004,0.114691,-0.395339,0.008137
12,0.100000,-0.005047,-0.038458,-0.013857,-0.999151,-4.115004,0.114691,-0.395339,0.008137
13,0.108333,-0.005047,-0.038458,-0.013857,-0.999151,-4.115004,0.114691,-0.395339,0.008137
14,0.116667,-0.005047,-0.038458,-0.013857,-0.999151,-4.115004,0.114691,-0.395339,0.008137
15,0.125000,-0.005047,-0.038458,-0.013857,-0.999151,-4.115004,0.114691,-0.395339,0.008137
16,0.133333,-0.005047,-0.038458,-0.013857,-0.999151,-4.115004,0.114691,-0.395339,0.008137
17,0.141667,-0.005047,-0.038458,-0.013857,-0.999151,-4.115004,0.114691,-0.395339,0.008137
18,0.150000,-0.005047,-0.038458,-0.013857,-0.999151,-4.115004,0.114691,-0.395339,0.008137
19,0.158333,-0.005047,-0.038458,-0.013857,-0.999151,-4.115004,0.114691,-0.395339,0.008137
20,0.166667,-0.005047,-0.038458,-0.013857,-0.999151,-4.115004,0.114691,-0.395339,0.008137
21,0.175000,-0.005047,-0.038458,-0.013857,-0.999151,-4.115004,0.114691,-0.395339,0.008137
22,0.183333,-0.005047,-0.038458,-0.013857,-0.999151,-4.115004,0.114691,-0.395339,0.008137
